PlayerID,FirstName,LastName,DateofBirth,Nationality,Height,Weight,TeamID,PositionID
40,Adam,Arias,4/12/1983,Spain,181,79,3,3
332,Natasha,Gregory,12/16/1987,Germany,209,83,3,3
267,Alexandra,Williams,6/6/1991,Australia,181,78,3,4
483,Dawn,Mata,2/5/1990,Australia,197,89,3,4
87,Victor,Dean,1/17/1987,Australia,179,77,3,4
313,Gerald,Eaton,5/25/1988,Italy,196,89,3,5
568,Nicole,Evans,1/10/1993,Spain,174,104,3,5
260,Debbie,Ward,10/29/1986,Brazil,176,102,3,5
71,Melissa,Lucas,1/19/1990,Germany,185,99,3,6
166,Jennifer,Adams,12/17/1979,France,202,106,3,6
731,Sarah,Mccall,1/31/1994,Canada,193,85,3,6
97,Stacey,Smith,2/27/1991,Canada,189,106,4,1
281,Jessica,Williams,3/4/1987,France,193,109,4,1
870,Kristin,Miller,3/15/1985,Italy,179,80,4,2
372,Douglas,Bradley,2/1/1996,England,199,109,4,2
637,Joseph,Williams,9/22/1985,Germany,204,109,4,2
784,Jeanette,Wise,1/4/1981,France,183,102,4,3
622,Kelly,Davidson,10/28/1991,Spain,174,97,4,3
865,Lori,Ray,11/26/1993,France,177,77,4,3
381,Andrew,Smith,5/28/1990,Argentina,200,103,4,4
382,Patrick,Pearson,8/11/1984,Brazil,207,77,4,4
454,Matthew,Walker,11/25/1986,Germany,199,90,4,4
389,Christopher,Garcia,3/26/1993,France,181,104,4,5
571,Billy,Perez,1/14/1992,Brazil,195,105,4,5
199,Kaitlin,Powell,5/3/1984,Germany,174,106,4,5
64,Louis,White,1/16/1981,Canada,194,102,4,6
787,Renee,Berg,2/1/1988,Spain,194,100,4,6
347,Robert,Brown,10/11/1981,France,209,110,4,6
658,Ronald,Allen,7/8/1985,England,208,104,5,1
311,Christopher,Burgess,11/7/1996,Brazil,198,107,5,1
443,Paige,Carson,8/13/1994,Brazil,187,93,5,2
335,Teresa,Baker,11/1/1994,England,174,76,5,2
89,Michael,Thornton,2/27/1983,Germany,203,95,5,2
251,Janice,Ray,6/28/1995,Brazil,172,93,5,3
478,Jeffrey,Banks,6/2/1989,Germany,194,84,5,3
936,Kyle,Montgomery,4/11/1984,Spain,185,93,5,3
657,Alexander,Rivera,9/19/1983,England,210,85,5,4
441,Melissa,Armstrong,9/16/1988,France,202,103,5,4
262,Jamie,Jones,7/1/1981,England,188,80,5,4
507,Margaret,Brown,2/18/1985,Italy,209,107,5,5
683,Roy,Wells,11/2/1996,Spain,190,86,5,5
542,Mary,Barnett,9/29/1984,Argentina,206,101,5,5
901,Tracy,Armstrong,8/3/1989,Spain,195,108,5,6
856,Bradley,Price,12/16/1993,France,191,100,5,6
760,Eugene,Diaz,5/4/1988,Argentina,186,99,5,6
830,Jeffrey,Johnson,4/16/1989,Brazil,198,95,6,1
659,Shannon,Kim,9/27/1992,Canada,194,107,6,1
831,Charlene,Richards,7/27/1983,Germany,192,93,6,2
169,Susan,Terrell,5/7/1984,Brazil,207,75,6,2
670,Margaret,Watkins,1/15/1987,Spain,184,91,6,2
808,Angela,Turner,6/12/1991,Canada,201,79,6,3
531,Kellie,Robles,3/14/1991,Argentina,204,94,6,3
514,Carolyn,Evans,4/19/1984,France,192,108,6,3
345,Christopher,Wright,10/21/1984,Argentina,174,77,6,4
343,Hailey,Johnson,4/29/1980,Italy,188,109,6,4
890,Daniel,Barton,2/10/1995,Brazil,181,106,6,4
73,Ryan,Rogers,9/18/1984,Australia,207,103,6,5
543,Jaime,Gomez,7/26/1987,Brazil,205,90,6,5
45,Anne,Brown,8/6/1985,Italy,174,77,6,5
946,Keith,Frazier,5/10/1992,Australia,192,105,6,6
413,Troy,Edwards,2/10/1979,Argentina,202,78,6,6
597,Laura,Shaw,3/2/1979,Argentina,197,86,6,6
248,Nathan,Phelps,4/18/1991,Italy,189,93,7,1
878,Curtis,Harrison,10/5/1980,Australia,178,96,7,1
266,Amy,Jackson,11/6/1984,Italy,185,109,7,2
913,Gregory,Ferguson,12/13/1996,France,198,87,7,2
214,Jason,Kaiser,9/5/1979,Germany,176,107,7,2
297,Benjamin,Lee,2/17/1987,France,210,83,7,3
482,Timothy,Ramos,1/16/1981,France,195,105,7,3
317,Barbara,Patterson,11/29/1979,Germany,184,80,7,3
320,Dana,Thomas,12/29/1987,Canada,173,80,7,4
715,Brooke,Lane,6/18/1988,Canada,185,109,7,4
121,Michael,Russell,5/1/1993,Australia,187,110,7,4
352,Elizabeth,Fisher,12/18/1989,Canada,206,78,7,5
862,Jaime,Shepard,8/22/1985,Canada,199,103,7,5
736,David,Mills,2/9/1982,Argentina,181,81,7,5
733,Ashley,Guzman,5/12/1985,France,187,109,7,6
893,Ronald,Romero,8/12/1996,Australia,187,97,7,6
310,Tamara,Wells,1/17/1986,Brazil,195,75,7,6
449,Jennifer,Smith,1/25/1993,Australia,197,91,8,1
61,Robert,Clark,12/20/1996,Argentina,190,98,8,1
287,Jake,Moore,7/23/1986,Germany,203,91,8,2
839,Debra,Gutierrez,1/24/1990,Germany,172,78,8,2
820,Nicholas,Wallace,3/21/1981,Canada,204,90,8,2
219,Calvin,Smith,11/29/1984,England,177,86,8,3
573,Arthur,Nunez,3/31/1995,Australia,183,77,8,3
431,Audrey,Mccall,5/23/1984,England,180,109,8,3
67,Shelly,Martinez,6/17/1990,Canada,209,106,8,4
360,Jermaine,Edwards,2/13/1987,Argentina,199,85,8,4
721,Amanda,Gonzalez,10/30/1987,Germany,181,94,8,4
529,Heather,Martin,4/25/1990,Argentina,177,86,8,5
468,Bruce,Lara,3/24/1990,France,180,87,8,5
583,Joshua,Brown,10/8/1986,Australia,175,76,8,5
479,Samuel,Mullins,4/30/1983,Italy,202,91,8,6
111,Seth,Serrano,4/9/1986,Spain,192,89,8,6
766,Matthew,Lee,4/29/1990,Canada,192,100,8,6
434,David,Jones,4/30/1994,England,195,84,9,1
303,Mark,Olson,12/6/1993,Australia,183,86,9,1
906,Joanne,Anderson,4/26/1985,Spain,199,85,9,2
209,Timothy,Park,1/6/1991,Italy,193,91,9,2
614,David,Hall,12/29/1985,France,186,87,9,2
362,Melanie,Young,3/14/1982,France,208,104,9,3
818,Amanda,Jackson,5/16/1990,Canada,201,106,9,3
595,Adam,Parks,12/8/1996,Germany,203,100,9,3
668,Lori,Cobb,12/27/1992,Australia,196,92,9,4
594,Jacob,Wright,7/30/1991,Canada,185,78,9,4
138,Nathan,Mcpherson,7/23/1981,Germany,197,93,9,4
319,Zachary,Myers,2/25/1988,Argentina,176,86,9,5
681,Michael,Watson,10/7/1990,Brazil,203,99,9,5
334,Timothy,Cross,3/27/1987,Argentina,210,85,9,5
713,Angela,Hurst,1/13/1981,Italy,189,107,9,6
193,Mike,Anderson,4/18/1996,Argentina,201,93,9,6
527,Philip,Wells,8/9/1991,Brazil,201,90,9,6
159,Wendy,Bailey,10/15/1989,Italy,197,83,10,1
592,Lindsey,Cameron,12/7/1984,England,200,108,10,1
689,Dustin,Smith,10/27/1985,Canada,180,102,10,2
312,George,Gonzalez,4/5/1987,Brazil,182,102,10,2
79,Tiffany,Edwards,5/21/1993,Canada,193,78,10,2
236,Michaela,Bean,2/3/1992,Italy,198,89,10,3
900,Joel,Wilson,11/21/1980,France,177,89,10,3
524,Laura,Benton,9/25/1981,Canada,173,84,10,3
824,Tiffany,Jackson,4/15/1980,Australia,180,97,10,4
612,Daniel,Gutierrez,12/6/1979,USA,180,98,10,4
533,Christopher,Davis,1/28/1982,Italy,204,100,10,4
418,Stephen,Barton,7/23/1989,Italy,197,90,10,5
66,Debbie,Burgess,10/12/1980,France,195,84,10,5
142,Diana,Scott,9/7/1993,Brazil,199,105,10,5
894,Donald,Graham,9/23/1980,Argentina,200,101,10,6
358,Taylor,Craig,12/20/1996,Argentina,198,77,10,6
781,Victor,Young,3/31/1984,England,208,75,10,6
744,Phillip,Wagner,5/3/1994,France,181,100,11,1
688,Julie,Hayes,10/18/1992,Brazil,204,87,11,1
356,Kerry,Rogers,7/7/1985,USA,180,91,11,2
879,John,Glover,5/2/1983,Spain,205,88,11,2
315,Alexandra,Anderson,2/27/1995,Italy,194,96,11,2
588,Victoria,Joyce,12/27/1985,Germany,207,98,11,3
50,Cynthia,Cole,9/9/1992,Brazil,194,87,11,3
693,Travis,Johnson,1/11/1994,Italy,191,79,11,3
821,Gregory,Jordan,1/14/1982,Canada,205,100,11,4
750,Kelly,Price,7/26/1987,Argentina,207,110,11,4
858,Crystal,Garcia,3/28/1979,England,199,85,11,4
502,Joshua,Meyer,9/16/1990,Australia,190,95,11,5
929,James,Hansen,12/17/1983,Argentina,209,108,11,5
945,Barbara,Beasley,12/26/1991,Germany,206,92,11,5
788,Kimberly,Clark,10/13/1980,Italy,174,77,11,6
599,Tracy,Cain,10/17/1989,Germany,203,81,11,6
34,Raven,Jimenez,7/15/1994,Italy,176,104,11,6
32,Joseph,Williams,11/23/1981,England,185,104,12,1
711,Lawrence,Cobb,8/16/1996,Italy,197,75,12,1
299,Courtney,Hall,1/19/1983,USA,187,99,12,2
937,Lorraine,Garza,7/20/1980,France,172,103,12,2
291,Jo,Wilson,2/26/1982,Brazil,176,88,12,2
545,Mario,White,6/4/1982,England,192,98,12,3
276,John,Hunter,9/6/1981,USA,208,106,12,3
110,Paul,Gordon,3/12/1993,Germany,178,94,12,3
78,Carrie,Rojas,2/25/1986,Germany,187,86,12,4
706,Joshua,Olson,12/18/1993,Argentina,188,78,12,4
785,Heidi,Young,10/2/1996,USA,182,94,12,4
83,Kristina,Jackson,11/7/1992,Spain,174,93,12,5
616,Heidi,Dawson,3/22/1984,Canada,190,92,12,5
741,Debra,Lee,1/3/1982,Spain,185,99,12,5
912,Michelle,Ray,6/23/1984,Germany,180,76,12,6
353,Eric,Martinez,10/14/1996,Italy,182,92,12,6
3,Donald,Sanchez,1/1/1985,England,175,87,12,6
102,Jennifer,Robertson,2/5/1981,Argentina,174,82,13,1
752,Peter,Davis,9/19/1996,Germany,182,92,13,1
429,Kellie,Murillo,2/12/1990,Canada,188,80,13,2
539,Lynn,Wilcox,4/18/1982,Brazil,183,90,13,2
6,Joseph,Scott,2/8/1986,Germany,172,102,13,2
55,Valerie,Jackson,10/30/1983,Argentina,176,106,13,3
469,Anthony,Gilbert,3/6/1988,Germany,175,104,13,3
829,Leonard,Roberts,2/5/1982,Argentina,208,76,13,3
515,Lauren,Jones,11/8/1982,Argentina,208,95,13,4
665,Nicholas,Brady,10/31/1983,France,176,105,13,4
98,Edward,Price,7/3/1989,England,186,96,13,4
255,Christopher,Meadows,12/30/1987,Spain,175,87,13,5
383,Derek,Elliott,8/22/1994,Germany,187,110,13,5
500,Sherry,Parker,8/6/1990,Argentina,208,81,13,5
606,Barbara,Rasmussen,2/13/1983,Italy,207,103,13,6
911,Connie,Rodriguez,3/17/1983,USA,176,85,13,6
498,Matthew,Kennedy,3/21/1996,Argentina,185,98,13,6
696,Gerald,Terry,10/10/1982,USA,182,99,14,1
826,Diana,Kennedy,10/7/1989,England,189,83,14,1
26,Wendy,Howell,11/19/1990,England,188,98,14,2
85,Sean,Grant,1/16/1984,Spain,186,94,14,2
11,Zachary,Adams,12/28/1980,Canada,195,93,14,2
589,Rebecca,Gonzales,10/2/1991,Italy,205,100,14,3
854,Douglas,Moran,5/10/1990,Canada,203,101,14,3
409,Trevor,Tyler,11/12/1996,Spain,190,81,14,3
804,Nicole,Schaefer,4/3/1980,Germany,200,88,14,4
600,John,Smith,5/25/1995,France,179,80,14,4
445,Megan,Rogers,10/6/1991,Canada,196,83,14,4
119,Connie,Stokes,1/13/1990,Germany,193,106,14,5
327,Jennifer,Kent,10/23/1996,Australia,198,87,14,5
546,Jennifer,Conrad,11/11/1981,Australia,180,88,14,5
30,Dustin,Howard,6/24/1981,USA,176,94,14,6
56,Monica,Powell,5/5/1986,Canada,191,82,14,6
631,Maria,Lewis,10/13/1984,USA,177,86,14,6
328,Ana,Allen,8/24/1982,Argentina,202,90,15,1
629,David,Horton,4/1/1986,England,200,99,15,1
457,David,Goodwin,2/26/1996,USA,199,79,15,2
197,Keith,Gonzalez,2/18/1981,France,203,103,15,2
698,James,Miller,10/25/1985,Spain,210,101,15,2
82,Gabriel,Ortiz,7/24/1989,Brazil,180,109,15,3
848,William,Sanchez,8/7/1981,Australia,196,90,15,3
424,Carrie,Green,9/28/1987,England,194,100,15,3
590,Adam,Martinez,6/30/1989,Brazil,181,109,15,4
306,Michael,Espinoza,6/2/1988,Italy,196,99,15,4
835,Richard,Chapman,10/5/1990,France,197,84,15,4
240,Brianna,Gibson,4/18/1992,Spain,186,80,15,5
261,Bryan,Gould,4/2/1979,Australia,187,89,15,5
205,Kimberly,Garcia,8/30/1979,Italy,208,103,15,5
212,Roberta,Cortez,9/16/1994,Italy,182,80,15,6
245,Joseph,Bell,12/6/1993,Brazil,182,110,15,6
576,Alyssa,Cochran,3/21/1985,Spain,180,75,15,6
907,Laura,Henderson,11/19/1982,Germany,193,78,16,1
322,Angela,Jordan,6/27/1992,Brazil,179,99,16,1
948,Melissa,Hooper,9/16/1982,Australia,210,99,16,2
228,Philip,Curtis,2/1/1979,Australia,194,100,16,2
814,Anthony,Kelly,7/10/1991,Canada,189,95,16,2
656,Adam,Bennett,2/6/1988,Australia,195,107,16,3
759,Pamela,Clayton,3/19/1993,USA,189,75,16,3
448,Daniel,Sanders,6/22/1993,Canada,187,77,16,3
351,Monica,Brown,11/10/1985,Spain,207,75,16,4
324,Angela,Welch,4/23/1980,Argentina,186,103,16,4
437,Erica,Medina,10/8/1989,Italy,186,78,16,4
378,Timothy,Moss,6/25/1981,Spain,175,102,16,5
329,Justin,Reed,9/15/1986,Germany,181,85,16,5
8,Devon,Clark,11/19/1979,Germany,192,100,16,5
156,Christine,Hill,3/30/1980,Canada,188,89,16,6
520,Zachary,Moore,2/5/1984,Canada,207,80,16,6
430,Paul,Murphy,12/5/1984,Germany,210,89,16,6
735,Amanda,Roy,11/7/1984,England,201,94,17,1
742,Craig,Ferguson,4/9/1990,Brazil,191,80,17,1
558,Shelby,Mclaughlin,2/14/1982,Argentina,207,88,17,2
300,Deborah,Shaw,1/24/1989,Canada,175,86,17,2
548,Nancy,Harper,8/17/1981,Canada,179,109,17,2
886,Tiffany,Dean,5/11/1996,Argentina,199,78,17,3
371,Bethany,Smith,3/18/1991,Argentina,186,88,17,3
926,Jodi,Nichols,4/14/1986,Argentina,187,100,17,3
553,Daniel,Harris,2/17/1995,Germany,204,102,17,4
680,Charles,Oconnor,9/20/1985,France,177,107,17,4
618,Cheryl,Arnold,5/26/1996,Spain,203,93,17,4
405,Danielle,Taylor,10/6/1980,Argentina,198,108,17,5
229,Carla,Ibarra,2/25/1994,Canada,195,104,17,5
887,Ashley,Shelton,11/22/1992,France,180,78,17,5
695,Steven,Meyer,11/22/1996,Australia,183,91,17,6
213,Bryan,Johnson,2/16/1995,Italy,189,86,17,6
80,James,Matthews,9/12/1991,Australia,178,82,17,6
149,Cassandra,Murray,4/3/1987,Spain,191,104,18,1
293,Michelle,Watson,11/5/1991,Italy,206,88,18,1
452,Dawn,Johnston,5/14/1993,Australia,174,94,18,2
307,Patricia,Howard,11/27/1992,Germany,187,104,18,2
433,Cynthia,Petty,8/24/1994,USA,192,84,18,2
877,Malik,Curry,3/19/1984,Argentina,206,96,18,3
134,Mark,Gonzales,7/23/1986,France,187,76,18,3
522,Loretta,Dickerson,10/13/1988,USA,178,82,18,3
840,Patty,Harris,7/6/1991,France,185,110,18,4
645,Gina,Davis,9/29/1983,Italy,196,91,18,4
1,Steven,Jackson,9/17/1982,Germany,200,106,18,4
673,Erik,Fletcher,8/28/1994,Spain,172,94,18,5
519,Jesse,Wilson,8/6/1994,Italy,177,75,18,5
308,Thomas,Reyes,6/16/1986,Germany,181,82,18,5
494,Danielle,Gonzalez,8/21/1995,Italy,188,105,18,6
425,Courtney,Lloyd,8/8/1990,England,190,96,18,6
333,Austin,Gonzalez,6/4/1996,Germany,174,89,18,6
173,Lorraine,Clark,8/26/1979,England,188,106,19,1
126,Jon,Mayer,11/28/1987,Germany,200,83,19,1
705,Carlos,Hutchinson,3/15/1985,Germany,196,88,19,2
860,William,Barrett,4/19/1986,Spain,177,100,19,2
914,Pamela,Pugh,9/4/1995,Canada,195,95,19,2
91,Victor,Tate,11/11/1980,Canada,174,83,19,3
891,Rebecca,Brown,5/28/1989,USA,206,97,19,3
182,Mark,Rosario,6/11/1993,Argentina,194,81,19,3
275,Brian,Hamilton,3/5/1979,Italy,208,85,19,4
850,David,Shea,9/6/1990,Brazil,178,100,19,4
70,Michelle,Silva,9/10/1984,England,182,79,19,4
292,Diana,Davis,10/4/1995,Spain,190,108,19,5
132,Patricia,Phillips,10/1/1983,Germany,177,107,19,5
301,Leah,Schultz,8/16/1979,England,189,78,19,5
746,April,Patterson,5/17/1992,Brazil,188,84,19,6
145,Stephen,Soto,4/29/1990,USA,188,109,19,6
552,Jonathan,Taylor,1/21/1991,Australia,188,104,19,6
136,Ruth,Mann,7/22/1986,Italy,208,110,20,1
165,Justin,Velez,7/1/1979,Argentina,203,75,20,1
29,Michelle,Evans,10/30/1981,Australia,195,104,20,2
534,Michele,Hanson,1/23/1983,Canada,195,78,20,2
194,Benjamin,Bowman,7/2/1985,France,181,76,20,2
555,Nancy,Nelson,9/1/1983,Brazil,202,106,20,3
607,Eric,Reed,2/5/1987,Brazil,193,84,20,3
170,Brenda,Fletcher,5/15/1995,USA,181,97,20,3
949,Samantha,Cordova,10/8/1986,Brazil,172,107,20,4
141,Jose,Orozco,11/25/1982,Australia,204,105,20,4
174,Roy,Kelley,11/15/1990,Germany,179,96,20,4
7,Larry,Wright,1/24/1990,Germany,207,106,20,5
663,Laura,Smith,8/27/1993,Australia,172,85,20,5
426,Stacey,Smith,8/20/1984,Australia,185,89,20,5
74,Paul,Miller,4/16/1980,Germany,200,90,20,6
650,Jesus,Rojas,2/17/1996,Australia,187,90,20,6
528,Neil,Cook,1/4/1987,France,206,108,20,6
239,John,Miles,11/6/1986,Canada,204,106,21,1
146,Sara,Cowan,6/28/1983,Canada,182,98,21,1
755,Amanda,Cole,12/30/1993,USA,202,103,21,2
235,John,Ward,7/15/1996,USA,201,107,21,2
221,John,Banks,9/8/1984,Argentina,205,98,21,2
423,Sharon,Jones,6/15/1985,England,209,94,21,3
902,Riley,Herman,4/5/1991,Germany,208,77,21,3
133,Thomas,Rubio,6/6/1987,England,186,93,21,3
941,Robert,Walsh,2/25/1983,Brazil,184,90,21,4
366,Roberto,Carr,7/3/1983,Canada,187,94,21,4
186,Danielle,Williams,9/15/1985,England,188,95,21,4
42,Hannah,Griffith,8/10/1994,Spain,183,85,21,5
581,Kimberly,Taylor,12/12/1995,Spain,184,87,21,5
109,Charles,Robles,10/31/1993,Italy,184,109,21,5
602,David,Anderson,5/20/1986,Australia,200,77,21,6
57,Timothy,Williams,8/2/1992,Germany,207,80,21,6
363,Kyle,Combs,3/19/1989,Germany,179,102,21,6
395,Miranda,Cannon,3/14/1990,England,204,82,22,1
535,Mitchell,Mcdonald,2/2/1993,Spain,209,97,22,1
25,Krystal,Meza,11/12/1982,France,202,99,22,2
399,Jonathan,Lara,3/4/1987,Germany,184,78,22,2
837,Clifford,Trujillo,4/11/1979,USA,177,81,22,2
501,Juan,Pham,5/13/1989,England,205,96,22,3
339,Judith,Wade,7/26/1988,USA,197,85,22,3
52,Erika,Walters,8/18/1992,USA,196,97,22,3
940,Kerry,Collins,5/2/1992,France,197,75,22,4
873,Jeremy,Cooper,9/2/1986,France,185,79,22,4
603,Eugene,Farrell,10/23/1989,Canada,189,90,22,4
265,Alyssa,Petty,5/4/1995,Argentina,209,102,22,5
842,Rachel,Washington,9/12/1990,Brazil,210,102,22,5
737,Jacob,Castillo,4/17/1979,Italy,208,97,22,5
942,Randall,Frank,7/27/1991,Argentina,185,95,22,6
486,Timothy,Carlson,8/31/1982,Germany,192,79,22,6
19,Corey,Fischer,1/20/1979,France,199,86,22,6
763,Stephen,Stanley,7/31/1984,Canada,174,94,23,1
540,Anthony,Alvarez,8/13/1990,England,188,100,23,1
463,Justin,Byrd,3/13/1988,Argentina,193,92,23,2
368,Nicole,Hoffman,6/5/1987,France,183,81,23,2
84,Isaac,Wright,12/6/1988,Canada,192,97,23,2
62,Alexis,Russell,11/13/1995,Spain,181,84,23,3
868,Antonio,Sanders,2/22/1991,Spain,204,76,23,3
273,Melissa,Levine,9/26/1995,Argentina,189,76,23,3
286,Susan,Steele,12/7/1996,USA,204,93,23,4
361,Paul,Lee,11/18/1993,Canada,187,76,23,4
355,Melanie,Edwards,10/27/1991,Argentina,200,87,23,4
762,Joshua,Suarez,11/16/1992,England,204,76,23,5
279,Kimberly,Hunt,4/25/1991,Argentina,186,99,23,5
13,Christine,Mitchell,11/29/1980,Australia,177,79,23,5
183,Grant,Ponce,11/25/1986,Brazil,174,107,23,6
369,Margaret,Lee,3/21/1983,Canada,210,96,23,6
440,Mark,Taylor,9/1/1983,England,191,101,23,6
586,Rebecca,Moore,11/26/1987,Spain,195,96,24,1
224,James,Moran,10/27/1996,Brazil,203,79,24,1
544,Colleen,Martinez,6/2/1993,Italy,190,92,24,2
666,Dawn,Flores,1/12/1984,Canada,203,92,24,2
450,Timothy,Harrison,3/12/1985,USA,193,78,24,2
495,Daniel,Martinez,4/11/1995,Brazil,190,78,24,3
786,Melanie,Chan,5/26/1986,Italy,201,99,24,3
639,Pamela,Lee,3/28/1991,Brazil,196,97,24,3
177,Joseph,Page,7/4/1986,USA,195,91,24,4
634,Nicholas,Lane,10/27/1995,Brazil,208,102,24,4
632,Ernest,Miller,12/11/1989,France,176,91,24,4
908,Connie,Smith,5/12/1982,Brazil,197,109,24,5
466,Tammy,Dennis,6/8/1984,Argentina,208,96,24,5
164,Thomas,Aguirre,5/4/1988,France,202,80,24,5
249,Tyler,Baker,11/26/1983,USA,192,88,24,6
604,Tiffany,Murphy,8/13/1988,France,195,95,24,6
892,Joshua,Moore,7/30/1985,Germany,204,75,24,6
376,Paul,Cameron,7/5/1992,USA,203,100,25,1
75,Kristy,Cole,10/21/1992,Germany,175,106,25,1
114,Cheryl,Young,3/3/1993,Spain,190,76,25,2
771,Shelia,Jackson,12/4/1989,Spain,197,93,25,2
532,Logan,Weiss,4/29/1989,Canada,187,95,25,2
391,Melody,Elliott,1/30/1993,USA,195,106,25,3
105,John,Walker,8/29/1996,Australia,208,76,25,3
115,Adam,Wade,1/8/1989,Argentina,203,97,25,3
421,Sean,Allen,9/18/1994,Canada,184,81,25,4
410,Raymond,Pennington,12/5/1988,France,186,89,25,4
93,William,Perry,11/30/1982,Germany,207,77,25,4
536,Anthony,Barnes,7/19/1988,Argentina,203,94,25,5
90,Tony,Morgan,6/28/1991,Australia,192,90,25,5
337,Mark,Davis,12/7/1979,France,175,108,25,5
939,Alexis,Williams,7/5/1984,Spain,208,100,25,6
874,Eric,Hawkins,10/7/1991,Canada,196,82,25,6
885,Joseph,Madden,2/8/1985,Australia,177,106,25,6
577,Dylan,Miller,10/22/1986,Germany,187,86,26,1
882,Regina,Hill,11/26/1987,USA,188,93,26,1
582,Jon,Andrews,3/22/1985,Germany,206,86,26,2
95,Ashley,Andrews,2/1/1980,Brazil,176,77,26,2
12,Hunter,Martinez,1/16/1985,Australia,192,90,26,2
397,Valerie,Hudson,5/31/1995,Australia,186,81,26,3
496,Molly,Morris,7/30/1995,USA,187,110,26,3
44,Allison,Perkins,1/24/1995,Canada,179,84,26,3
43,Melissa,Friedman,12/4/1979,France,180,89,26,4
330,Carrie,George,4/14/1983,Argentina,195,94,26,4
168,Annette,Dillon,2/14/1979,Australia,179,102,26,4
537,Chad,Evans,10/26/1980,Germany,198,104,26,5
899,Michael,Williams,9/5/1983,Argentina,183,91,26,5
569,Joseph,Schultz,8/13/1995,Italy,192,104,26,5
846,Jill,Summers,8/3/1986,Canada,199,101,26,6
101,Natalie,Smith,2/25/1981,Australia,179,99,26,6
427,Brian,Mueller,11/18/1993,Australia,197,76,26,6
179,Ashley,Phillips,3/21/1986,Italy,197,91,27,1
417,Chris,Hood,3/10/1982,Italy,190,96,27,1
617,Andre,Mendez,2/19/1992,England,191,88,27,2
838,Kelsey,Hudson,1/29/1993,Spain,181,100,27,2
627,Julie,Ward,6/10/1986,Brazil,196,110,27,2
178,Jennifer,Clay,8/12/1992,Germany,172,105,27,3
396,Ryan,Wade,1/29/1993,Spain,174,86,27,3
644,Donald,Fisher,11/10/1982,Spain,200,96,27,3
756,Luis,Stanley,12/3/1985,Spain,201,78,27,4
651,James,Reid,3/24/1985,England,207,108,27,4
384,Dylan,Moon,7/18/1993,Australia,204,98,27,4
258,Stephanie,Medina,2/22/1989,Canada,198,102,27,5
898,Eric,Brewer,3/23/1981,USA,190,108,27,5
336,Katelyn,Davis,5/3/1987,Spain,177,88,27,5
585,Alan,Fletcher,4/24/1979,England,185,107,27,6
16,Elizabeth,Johnson,1/17/1990,Canada,190,84,27,6
4,Gerald,Gilbert,7/19/1986,Spain,189,100,27,6
549,David,Carter,10/25/1979,England,176,108,28,1
257,Richard,Hill,8/6/1994,Germany,194,95,28,1
517,Tyler,Robinson,7/22/1982,Argentina,177,106,28,2
722,Kristin,Wheeler,7/18/1995,Italy,207,91,28,2
