PlayerID,FirstName,LastName,DateofBirth,Nationality,Height,Weight
53,Daniel,Marshall,9/26/1983,Canada,188,86
54,Jennifer,Fisher,8/11/1996,Argentina,177,110
55,Valerie,Jackson,10/30/1983,Argentina,176,106
56,Monica,Powell,5/5/1986,Canada,191,82
57,Timothy,Williams,8/2/1992,Germany,207,80
58,Tiffany,Klein,6/19/1979,Italy,183,91
59,Keith,Nelson,3/31/1988,Argentina,207,85
60,Denise,Shields,2/25/1993,Italy,178,81
61,Robert,Clark,12/20/1996,Argentina,190,98
62,Alexis,Russell,11/13/1995,Spain,181,84
63,Jamie,Humphrey,11/21/1993,USA,208,80
64,Louis,White,1/16/1981,Canada,194,102
65,Lance,Butler,8/14/1994,Argentina,189,75
66,Debbie,Burgess,10/12/1980,France,195,84
67,Shelly,Martinez,6/17/1990,Canada,209,106
68,Alexis,Lee,1/27/1979,Spain,176,97
69,Michael,Brooks,6/18/1979,Australia,204,85
70,Michelle,Silva,9/10/1984,England,182,79
71,Melissa,Lucas,1/19/1990,Germany,185,99
72,Amber,Carter,4/8/1985,France,181,104
73,Ryan,Rogers,9/18/1984,Australia,207,103
74,Paul,Miller,4/16/1980,Germany,200,90
75,Kristy,Cole,10/21/1992,Germany,175,106
76,Arthur,Villegas,4/14/1980,Argentina,194,85
77,Lisa,Johnson,11/18/1988,France,209,78
78,Carrie,Rojas,2/25/1986,Germany,187,86
79,Tiffany,Edwards,5/21/1993,Canada,193,78
80,James,Matthews,9/12/1991,Australia,178,82
81,Jennifer,Ellis,1/21/1986,France,189,87
82,Gabriel,Ortiz,7/24/1989,Brazil,180,109
83,Kristina,Jackson,11/7/1992,Spain,174,93
84,Isaac,Wright,12/6/1988,Canada,192,97
85,Sean,Grant,1/16/1984,Spain,186,94
86,Jessica,Edwards,7/28/1985,Argentina,189,92
87,Victor,Dean,1/17/1987,Australia,179,77
88,James,Saunders,9/13/1985,Germany,204,93
89,Michael,Thornton,2/27/1983,Germany,203,95
90,Tony,Morgan,6/28/1991,Australia,192,90
91,Victor,Tate,11/11/1980,Canada,174,83
92,Tanner,Bean,12/19/1994,Brazil,194,77
93,William,Perry,11/30/1982,Germany,207,77
94,Emily,Brown,7/14/1990,France,188,103
95,Ashley,Andrews,2/1/1980,Brazil,176,77
96,Stacey,Chavez,11/3/1980,Brazil,177,101
97,Stacey,Smith,2/27/1991,Canada,189,106
98,Edward,Price,7/3/1989,England,186,96
99,Brandi,King,6/18/1979,Canada,183,89
100,Jason,Hughes,11/21/1991,Germany,177,95
101,Natalie,Smith,2/25/1981,Australia,179,99
102,Jennifer,Robertson,2/5/1981,Argentina,174,82
103,Samuel,Willis,12/20/1982,Australia,190,104
104,Ricardo,Pena,7/3/1993,England,180,80
105,John,Walker,8/29/1996,Australia,208,76
106,Alan,Dixon,1/14/1989,Spain,195,84
107,Abigail,Houston,10/3/1996,Australia,208,80
108,Donald,Castillo,5/20/1994,Canada,206,93
109,Charles,Robles,10/31/1993,Italy,184,109
110,Paul,Gordon,3/12/1993,Germany,178,94
111,Seth,Serrano,4/9/1986,Spain,192,89
112,Nicholas,Williams,1/5/1995,USA,189,106
113,Jessica,Lee,4/6/1985,Spain,179,85
114,Cheryl,Young,3/3/1993,Spain,190,76
115,Adam,Wade,1/8/1989,Argentina,203,97
116,Michelle,Knight,6/7/1986,Australia,198,100
117,Christian,Reyes,4/22/1988,USA,205,91
118,Heather,Davis,7/1/1996,England,181,106
119,Connie,Stokes,1/13/1990,Germany,193,106
120,Johnathan,Davis,9/1/1979,Canada,205,79
121,Michael,Russell,5/1/1993,Australia,187,110
122,Tina,Levy,8/4/1983,Canada,195,88
123,Paul,Jimenez,10/20/1983,Argentina,172,96
124,Crystal,Hart,10/29/1980,Brazil,176,86
125,Richard,Hayes,8/2/1986,England,202,103
126,Jon,Mayer,11/28/1987,Germany,200,83
127,Chelsea,Carroll,11/4/1990,Italy,174,78
128,Kathryn,Hodges,2/10/1988,Canada,180,94
129,Nicole,Hill,6/30/1979,Australia,202,103
130,James,Frye,3/5/1983,France,182,109
131,Kevin,Glass,2/6/1996,Australia,178,109
132,Patricia,Phillips,10/1/1983,Germany,177,107
133,Thomas,Rubio,6/6/1987,England,186,93
134,Mark,Gonzales,7/23/1986,France,187,76
135,William,Mccoy,5/22/1993,England,188,90
136,Ruth,Mann,7/22/1986,Italy,208,110
137,Laura,Allen,8/14/1987,Australia,181,100
138,Nathan,Mcpherson,7/23/1981,Germany,197,93
139,John,Thompson,12/25/1988,USA,207,85
140,Christine,Marks,3/30/1980,France,179,105
141,Jose,Orozco,11/25/1982,Australia,204,105
142,Diana,Scott,9/7/1993,Brazil,199,105
143,Vincent,Christensen,9/28/1981,Argentina,174,81
144,Rhonda,Robinson,7/12/1985,Spain,181,104
145,Stephen,Soto,4/29/1990,USA,188,109
146,Sara,Cowan,6/28/1983,Canada,182,98
147,Denise,Vazquez,2/11/1984,Argentina,204,108
148,Pamela,Ford,6/2/1986,Brazil,206,80
149,Cassandra,Murray,4/3/1987,Spain,191,104
150,Jason,Hill,5/1/1995,Germany,200,82
151,Taylor,Fischer,11/25/1981,Argentina,205,78
152,Ernest,Brown,12/30/1988,England,189,87
153,Taylor,Simpson,7/29/1981,England,191,95
154,Austin,Rich,5/21/1990,USA,200,98
155,Claudia,Travis,6/16/1981,Italy,207,110
156,Christine,Hill,3/30/1980,Canada,188,89
157,Michael,Palmer,5/17/1988,England,181,98
158,Stacey,Erickson,4/8/1995,Brazil,174,107
159,Wendy,Bailey,10/15/1989,Italy,197,83
160,Jesse,Murphy,5/7/1980,Germany,172,98
161,Savannah,Smith,2/18/1992,Spain,188,98
162,Jeffery,Savage,11/17/1993,USA,172,87
163,Tony,Marquez,5/24/1980,Brazil,185,90
164,Thomas,Aguirre,5/4/1988,France,202,80
165,Justin,Velez,7/1/1979,Argentina,203,75
166,Jennifer,Adams,12/17/1979,France,202,106
167,Sarah,Johnson,3/16/1990,Brazil,192,82
168,Annette,Dillon,2/14/1979,Australia,179,102
169,Susan,Terrell,5/7/1984,Brazil,207,75
170,Brenda,Fletcher,5/15/1995,USA,181,97
171,Jonathan,Donaldson,2/23/1981,Brazil,210,106
172,Courtney,Collier,8/17/1992,Brazil,208,80
173,Lorraine,Clark,8/26/1979,England,188,106
174,Roy,Kelley,11/15/1990,Germany,179,96
175,Anita,Mitchell,7/25/1990,Australia,192,104
176,Brittney,Berry,3/11/1983,USA,185,101
177,Joseph,Page,7/4/1986,USA,195,91
178,Jennifer,Clay,8/12/1992,Germany,172,105
179,Ashley,Phillips,3/21/1986,Italy,197,91
180,Andrew,Fitzgerald,5/11/1993,Germany,183,84
181,Jared,Rivera,9/14/1981,Spain,174,88
182,Mark,Rosario,6/11/1993,Argentina,194,81
183,Grant,Ponce,11/25/1986,Brazil,174,107
184,Bradley,Mccarthy,10/12/1995,USA,204,93
185,Caitlin,Cain,8/2/1991,Australia,209,86
186,Danielle,Williams,9/15/1985,England,188,95
187,Christopher,Williams,7/23/1991,Argentina,210,84
188,Lauren,Davidson,8/21/1984,Canada,176,75
189,Hannah,Bryant,2/26/1979,Spain,177,85
190,Katherine,Johnson,9/4/1992,England,186,87
191,Jason,Smith,12/21/1983,Germany,209,104
192,Sheryl,Robinson,11/21/1988,Australia,178,103
193,Mike,Anderson,4/18/1996,Argentina,201,93
194,Benjamin,Bowman,7/2/1985,France,181,76
195,Paul,Rodriguez,11/12/1986,Brazil,173,80
196,Sarah,Porter,12/11/1979,Canada,174,107
197,Keith,Gonzalez,2/18/1981,France,203,103
198,Jesse,Ramsey,1/14/1987,Spain,202,80
199,Kaitlin,Powell,5/3/1984,Germany,174,106
200,Ronald,Lam,3/22/1994,Spain,184,98
201,Melissa,Wood,12/9/1981,England,173,102
202,David,Barnett,3/27/1979,Argentina,200,77
203,Hannah,Ferguson,5/20/1986,Australia,177,90
204,Erica,Shepherd,10/19/1981,Australia,206,93
205,Kimberly,Garcia,8/30/1979,Italy,208,103
206,Darryl,Watts,8/4/1995,France,200,84
207,Sarah,Harris,2/5/1986,Brazil,205,80
208,Lauren,Brown,8/17/1993,USA,191,108
209,Timothy,Park,1/6/1991,Italy,193,91
210,Robert,Vance,4/1/1992,Australia,198,90
211,Joel,Hoffman,8/30/1986,Spain,180,91
212,Roberta,Cortez,9/16/1994,Italy,182,80
213,Bryan,Johnson,2/16/1995,Italy,189,86
214,Jason,Kaiser,9/5/1979,Germany,176,107
215,Sandra,Barnett,10/2/1993,USA,190,97
216,Shannon,Bryant,10/19/1983,Argentina,195,102
217,Ronnie,Bird,12/21/1989,France,181,75
218,Rebecca,Bailey,11/20/1989,USA,205,106
219,Calvin,Smith,11/29/1984,England,177,86
220,David,Burns,11/15/1986,England,188,108
221,John,Banks,9/8/1984,Argentina,205,98
222,Jennifer,Brown,6/16/1982,USA,172,83
223,Bonnie,Gardner,2/23/1983,Germany,196,93
224,James,Moran,10/27/1996,Brazil,203,79
225,Tammy,Johnson,5/12/1983,Argentina,203,110
226,Christopher,Gibson,4/16/1985,Germany,204,84
227,Amy,Bailey,11/30/1985,Australia,194,93
228,Philip,Curtis,2/1/1979,Australia,194,100
229,Carla,Ibarra,2/25/1994,Canada,195,104
230,Wesley,Jennings,8/10/1987,Germany,201,81
231,Carol,Smith,8/30/1986,Australia,179,88
232,Antonio,Simpson,3/29/1995,Spain,204,96
233,Brandon,Davis,10/31/1995,Italy,190,95
234,Jake,Moore,10/4/1996,England,199,110
235,John,Ward,7/15/1996,USA,201,107
236,Michaela,Bean,2/3/1992,Italy,198,89
237,Charles,Collins,2/9/1983,France,210,101
238,Craig,Potts,10/12/1996,Australia,178,103
239,John,Miles,11/6/1986,Canada,204,106
240,Brianna,Gibson,4/18/1992,Spain,186,80
241,Paige,Smith,3/21/1988,Canada,174,89
242,Brian,King,5/11/1984,Argentina,177,104
243,Angela,Ortega,7/5/1981,Australia,192,87
244,Steven,Morrison,11/7/1996,Brazil,206,80
245,Joseph,Bell,12/6/1993,Brazil,182,110
246,Amanda,May,7/13/1996,Australia,180,108
247,Benjamin,Hart,5/13/1986,Argentina,177,76
248,Nathan,Phelps,4/18/1991,Italy,189,93
249,Tyler,Baker,11/26/1983,USA,192,88
250,Colleen,Bartlett,1/21/1995,Spain,174,93
251,Janice,Ray,6/28/1995,Brazil,172,93
252,Christopher,Gonzalez,6/7/1994,Australia,201,98
253,Thomas,Jones,5/13/1987,Germany,180,76
254,David,Best,12/6/1981,Argentina,185,82
255,Christopher,Meadows,12/30/1987,Spain,175,87
256,Rachel,Humphrey,1/31/1989,Australia,206,108
257,Richard,Hill,8/6/1994,Germany,194,95
258,Stephanie,Medina,2/22/1989,Canada,198,102
259,Rachael,Hamilton,3/12/1994,USA,205,76
260,Debbie,Ward,10/29/1986,Brazil,176,102
261,Bryan,Gould,4/2/1979,Australia,187,89
262,Jamie,Jones,7/1/1981,England,188,80
263,Mark,Gonzales,10/3/1996,France,194,94
264,Sandra,Ware,10/10/1980,Spain,183,92
265,Alyssa,Petty,5/4/1995,Argentina,209,102
266,Amy,Jackson,11/6/1984,Italy,185,109
267,Alexandra,Williams,6/6/1991,Australia,181,78
268,Angelica,Brooks,8/22/1991,France,204,90
269,Amy,Obrien,10/6/1996,England,185,102
270,Scott,Schneider,4/16/1982,Australia,209,83
271,Kimberly,Robbins,8/16/1979,USA,174,76
272,Henry,Phillips,1/29/1981,Germany,204,92
273,Melissa,Levine,9/26/1995,Argentina,189,76
274,Kelly,Carter,12/29/1988,England,188,102
275,Brian,Hamilton,3/5/1979,Italy,208,85
276,John,Hunter,9/6/1981,USA,208,106
277,Linda,Holland,12/31/1992,France,172,90
278,Denise,Baker,11/16/1981,France,176,101
279,Kimberly,Hunt,4/25/1991,Argentina,186,99
280,Gregory,Carter,9/5/1981,USA,179,107
281,Jessica,Williams,3/4/1987,France,193,109
282,Mark,Sanders,3/6/1989,Canada,189,90
283,Jonathan,Bowen,7/22/1991,Brazil,207,87
284,Lisa,Richardson,9/21/1992,Argentina,180,110
285,Cynthia,Fowler,7/6/1990,Germany,204,84
286,Susan,Steele,12/7/1996,USA,204,93
287,Jake,Moore,7/23/1986,Germany,203,91
288,Joel,Hamilton,9/26/1987,England,185,106
289,Kathy,Rasmussen,7/1/1985,France,207,76
290,Angela,Wilson,10/19/1983,Germany,192,90
291,Jo,Wilson,2/26/1982,Brazil,176,88
292,Diana,Davis,10/4/1995,Spain,190,108
293,Michelle,Watson,11/5/1991,Italy,206,88
294,Lauren,Hoover,4/17/1994,Spain,188,92
295,Charles,Fields,8/8/1980,Argentina,177,93
296,Meredith,Sanders,7/22/1982,England,172,88
297,Benjamin,Lee,2/17/1987,France,210,83
298,Autumn,Arnold,5/21/1989,Italy,210,86
299,Courtney,Hall,1/19/1983,USA,187,99
300,Deborah,Shaw,1/24/1989,Canada,175,86
301,Leah,Schultz,8/16/1979,England,189,78
302,Amy,Miller,3/1/1994,Germany,200,90
303,Mark,Olson,12/6/1993,Australia,183,86
304,Savannah,Reilly,12/31/1990,Spain,206,89
305,Cathy,Scott,3/25/1981,England,197,81
306,Michael,Espinoza,6/2/1988,Italy,196,99
307,Patricia,Howard,11/27/1992,Germany,187,104
308,Thomas,Reyes,6/16/1986,Germany,181,82
309,Tracy,Malone,4/21/1984,England,173,82
310,Tamara,Wells,1/17/1986,Brazil,195,75
311,Christopher,Burgess,11/7/1996,Brazil,198,107
312,George,Gonzalez,4/5/1987,Brazil,182,102
313,Gerald,Eaton,5/25/1988,Italy,196,89
314,Terry,Bell,6/17/1983,Italy,207,76
315,Alexandra,Anderson,2/27/1995,Italy,194,96
316,Amanda,Mccoy,9/24/1985,Italy,175,94
317,Barbara,Patterson,11/29/1979,Germany,184,80
318,Lindsey,Lee,6/21/1987,Spain,173,97
319,Zachary,Myers,2/25/1988,Argentina,176,86
320,Dana,Thomas,12/29/1987,Canada,173,80
321,Jennifer,Banks,12/5/1996,Brazil,193,89
322,Angela,Jordan,6/27/1992,Brazil,179,99
323,Justin,Williams,5/6/1992,Australia,194,98
324,Angela,Welch,4/23/1980,Argentina,186,103
325,Jared,Shepherd,1/4/1989,Brazil,196,108
326,Zachary,Miller,3/18/1979,Italy,178,101
327,Jennifer,Kent,10/23/1996,Australia,198,87
328,Ana,Allen,8/24/1982,Argentina,202,90
329,Justin,Reed,9/15/1986,Germany,181,85
330,Carrie,George,4/14/1983,Argentina,195,94
331,Melissa,Mcdonald,10/8/1979,Italy,209,85
332,Natasha,Gregory,12/16/1987,Germany,209,83
333,Austin,Gonzalez,6/4/1996,Germany,174,89
334,Timothy,Cross,3/27/1987,Argentina,210,85
335,Teresa,Baker,11/1/1994,England,174,76
336,Katelyn,Davis,5/3/1987,Spain,177,88
337,Mark,Davis,12/7/1979,France,175,108
338,David,Blake,12/2/1981,Australia,208,81
339,Judith,Wade,7/26/1988,USA,197,85
340,Stephanie,Wang,8/17/1981,Canada,200,109
341,Kristin,Wright,1/18/1988,Argentina,173,78
342,Cynthia,Turner,4/16/1982,Argentina,197,84
343,Hailey,Johnson,4/29/1980,Italy,188,109
344,Jessica,Young,11/20/1984,Italy,178,99
345,Christopher,Wright,10/21/1984,Argentina,174,77
346,Yvonne,Cochran,7/6/1991,France,208,80
347,Robert,Brown,10/11/1981,France,209,110
348,Christopher,Owen,8/14/1983,Argentina,194,75
349,Kelly,Santos,10/24/1987,Australia,196,87
350,James,Leon,4/12/1985,Argentina,207,107
351,Monica,Brown,11/10/1985,Spain,207,75
352,Elizabeth,Fisher,12/18/1989,Canada,206,78
353,Eric,Martinez,10/14/1996,Italy,182,92
354,Joseph,Hull,4/23/1988,Brazil,208,96
355,Melanie,Edwards,10/27/1991,Argentina,200,87
356,Kerry,Rogers,7/7/1985,USA,180,91
357,Sheila,Randolph,11/1/1989,Spain,188,75
358,Taylor,Craig,12/20/1996,Argentina,198,77
359,Christopher,West,6/7/1995,Argentina,176,83
360,Jermaine,Edwards,2/13/1987,Argentina,199,85
361,Paul,Lee,11/18/1993,Canada,187,76
362,Melanie,Young,3/14/1982,France,208,104
363,Kyle,Combs,3/19/1989,Germany,179,102
364,Katherine,Bryan,12/15/1988,Germany,182,105
365,Kimberly,Wright,1/10/1981,Canada,172,88
366,Roberto,Carr,7/3/1983,Canada,187,94
367,Victoria,Lee,7/11/1986,France,186,77
368,Nicole,Hoffman,6/5/1987,France,183,81
369,Margaret,Lee,3/21/1983,Canada,210,96
370,Samantha,Winters,3/29/1990,Italy,194,81
371,Bethany,Smith,3/18/1991,Argentina,186,88
372,Douglas,Bradley,2/1/1996,England,199,109
373,Melissa,Woods,5/29/1987,Argentina,184,98
374,Matthew,Thompson,5/11/1980,USA,182,105
375,Nicole,Kirk,10/29/1996,Canada,188,95
376,Paul,Cameron,7/5/1992,USA,203,100
377,Jacqueline,Hall,7/27/1991,Brazil,182,101
378,Timothy,Moss,6/25/1981,Spain,175,102
379,Paula,Hickman,12/12/1995,Spain,204,100
380,Melissa,Hernandez,9/6/1979,Brazil,180,107
381,Andrew,Smith,5/28/1990,Argentina,200,103
382,Patrick,Pearson,8/11/1984,Brazil,207,77
383,Derek,Elliott,8/22/1994,Germany,187,110
384,Dylan,Moon,7/18/1993,Australia,204,98
385,Kayla,Martin,5/24/1983,Australia,197,94
386,Shannon,Jones,6/25/1995,Canada,175,91
387,Curtis,Malone,3/13/1992,Brazil,192,76
388,Brittany,Hall,7/6/1992,Spain,186,107
389,Christopher,Garcia,3/26/1993,France,181,104
390,Anne,Gordon,8/5/1988,Argentina,195,76
391,Melody,Elliott,1/30/1993,USA,195,106
392,Laura,Coleman,4/25/1990,Argentina,203,85
393,Austin,Carter,11/8/1984,Spain,172,92
394,John,Martin,8/1/1994,Australia,208,110
395,Miranda,Cannon,3/14/1990,England,204,82
396,Ryan,Wade,1/29/1993,Spain,174,86
397,Valerie,Hudson,5/31/1995,Australia,186,81
398,Daniel,Franklin,7/31/1980,USA,177,90
399,Jonathan,Lara,3/4/1987,Germany,184,78
400,John,Stevens,4/11/1991,Argentina,182,103
401,Anna,Cooley,6/23/1992,Italy,205,90
402,James,Warren,3/8/1996,Spain,185,81
403,Robin,Ramirez,6/30/1979,Germany,196,77
404,Monica,David,9/16/1979,Australia,206,109
405,Danielle,Taylor,10/6/1980,Argentina,198,108
406,Melissa,Hoover,11/15/1981,Germany,182,99
407,Jeremy,Taylor,6/26/1980,Canada,173,89
408,Gina,Diaz,12/2/1995,England,196,95
409,Trevor,Tyler,11/12/1996,Spain,190,81
410,Raymond,Pennington,12/5/1988,France,186,89
411,Patricia,Stewart,2/15/1996,Spain,197,80
412,Eric,Diaz,11/22/1980,Canada,209,91
413,Troy,Edwards,2/10/1979,Argentina,202,78
414,George,Wright,12/31/1984,Germany,180,106
415,Alejandro,Norris,3/8/1996,Argentina,206,98
416,Samantha,Barton,11/19/1996,England,205,76
417,Chris,Hood,3/10/1982,Italy,190,96
418,Stephen,Barton,7/23/1989,Italy,197,90
419,Michele,Holder,6/28/1990,Australia,204,97
420,Eric,Harrison,11/25/1985,Germany,199,84
421,Sean,Allen,9/18/1994,Canada,184,81
422,Andrew,Gardner,2/18/1996,England,201,106
423,Sharon,Jones,6/15/1985,England,209,94
424,Carrie,Green,9/28/1987,England,194,100
425,Courtney,Lloyd,8/8/1990,England,190,96
426,Stacey,Smith,8/20/1984,Australia,185,89
427,Brian,Mueller,11/18/1993,Australia,197,76
428,Catherine,Wheeler,11/6/1982,Italy,184,106
429,Kellie,Murillo,2/12/1990,Canada,188,80
430,Paul,Murphy,12/5/1984,Germany,210,89
431,Audrey,Mccall,5/23/1984,England,180,109
432,Michael,Watkins,7/21/1982,England,175,104
433,Cynthia,Petty,8/24/1994,USA,192,84
434,David,Jones,4/30/1994,England,195,84
435,Gregory,Williams,6/30/1982,England,196,110
436,Daniel,Bryant,11/29/1985,England,173,84
437,Erica,Medina,10/8/1989,Italy,186,78
438,Sandra,Perry,5/22/1990,France,198,94
439,Russell,Roberson,2/7/1995,Italy,201,103
440,Mark,Taylor,9/1/1983,England,191,101
441,Melissa,Armstrong,9/16/1988,France,202,103
442,Megan,Simmons,9/15/1990,Spain,193,104
443,Paige,Carson,8/13/1994,Brazil,187,93
444,David,Carrillo,11/27/1996,France,194,84
445,Megan,Rogers,10/6/1991,Canada,196,83
446,Laurie,Davis,8/13/1992,Canada,182,104
447,Brett,Perkins,1/2/1992,Germany,186,84
448,Daniel,Sanders,6/22/1993,Canada,187,77
449,Jennifer,Smith,1/25/1993,Australia,197,91
450,Timothy,Harrison,3/12/1985,USA,193,78
451,Andrew,Medina,9/18/1985,Germany,210,86
452,Dawn,Johnston,5/14/1993,Australia,174,94
453,Kristopher,Scott,10/9/1987,Italy,175,91
454,Matthew,Walker,11/25/1986,Germany,199,90
455,Miranda,Jones,5/18/1990,Argentina,176,77
456,Lisa,Martin,10/5/1987,Australia,203,99
457,David,Goodwin,2/26/1996,USA,199,79
458,Mark,Molina,8/23/1984,Brazil,181,84
459,Luke,Rowe,3/12/1985,Argentina,203,106
460,Christopher,Armstrong,10/28/1990,Brazil,177,107
461,James,Payne,3/15/1990,USA,194,93
462,Chelsea,Estrada,3/19/1982,France,190,83
463,Justin,Byrd,3/13/1988,Argentina,193,92
464,Amanda,Moran,11/19/1987,France,198,76
465,Hannah,Edwards,3/7/1984,Germany,189,100
466,Tammy,Dennis,6/8/1984,Argentina,208,96
467,Nicole,Colon,10/16/1980,Spain,183,78
468,Bruce,Lara,3/24/1990,France,180,87
469,Anthony,Gilbert,3/6/1988,Germany,175,104
470,Craig,Sanchez,11/27/1993,Australia,190,84
471,Lisa,Burton,3/6/1994,Spain,188,109
472,Katherine,Meyers,4/18/1986,England,173,91
473,Raymond,Woodard,8/26/1993,Italy,197,94
474,Grant,Bush,4/1/1995,Spain,189,81
475,Wesley,Simmons,12/31/1986,Germany,203,104
476,Jason,Martinez,12/4/1986,Brazil,174,75
477,Michael,Chavez,12/11/1993,Italy,198,101
478,Jeffrey,Banks,6/2/1989,Germany,194,84
479,Samuel,Mullins,4/30/1983,Italy,202,91
480,Emily,Holland,5/20/1996,Italy,180,95
481,Brian,Mitchell,12/14/1982,France,203,99
482,Timothy,Ramos,1/16/1981,France,195,105
483,Dawn,Mata,2/5/1990,Australia,197,89
484,Tony,Mcneil,4/25/1990,Germany,196,78
485,Kristopher,Jones,8/7/1992,Argentina,175,80
486,Timothy,Carlson,8/31/1982,Germany,192,79
487,Danielle,Wilson,10/27/1980,Italy,191,89
488,Zachary,Perez,2/14/1980,France,177,87
489,William,Le,9/4/1980,Italy,187,90
490,Tami,Reid,9/12/1979,Argentina,180,87
491,Melissa,Simon,8/16/1983,England,173,101
492,Aaron,Caldwell,9/14/1988,France,179,92
493,Kristine,Jennings,8/29/1985,Argentina,199,105
494,Danielle,Gonzalez,8/21/1995,Italy,188,105
495,Daniel,Martinez,4/11/1995,Brazil,190,78
496,Molly,Morris,7/30/1995,USA,187,110
497,Krista,Henry,8/21/1989,Spain,200,77
498,Matthew,Kennedy,3/21/1996,Argentina,185,98
499,Michele,Ryan,12/29/1995,England,183,110
500,Sherry,Parker,8/6/1990,Argentina,208,81
501,Juan,Pham,5/13/1989,England,205,96
502,Joshua,Meyer,9/16/1990,Australia,190,95
503,Michael,Howard,6/27/1993,Australia,173,89
504,Shannon,Mcfarland,8/21/1989,Argentina,177,102
505,Natalie,Hall,3/25/1982,Australia,184,107
506,Derrick,Finley,10/1/1985,Argentina,172,94
507,Margaret,Brown,2/18/1985,Italy,209,107
508,Michael,Carter,7/9/1990,Spain,190,89
509,Alexander,Sutton,5/10/1986,Argentina,184,107
510,Brittney,Allen,5/21/1996,Australia,198,97
511,Julie,Simpson,5/30/1991,France,177,91
512,Alexander,Johnson,8/31/1987,France,173,90
513,Cheryl,Mendoza,5/9/1988,Italy,175,110
514,Carolyn,Evans,4/19/1984,France,192,108
515,Lauren,Jones,11/8/1982,Argentina,208,95
516,Arthur,Craig,5/27/1992,Germany,206,99
517,Tyler,Robinson,7/22/1982,Argentina,177,106
518,Emily,Gray,6/16/1994,Australia,207,98
519,Jesse,Wilson,8/6/1994,Italy,177,75
520,Zachary,Moore,2/5/1984,Canada,207,80
521,Lauren,Acosta,7/24/1982,USA,190,103
522,Loretta,Dickerson,10/13/1988,USA,178,82
523,Bernard,Clark,8/12/1985,Canada,175,98
524,Laura,Benton,9/25/1981,Canada,173,84
525,Pamela,Wright,11/25/1983,France,175,93
526,Katherine,Riley,10/9/1994,Italy,184,78
527,Philip,Wells,8/9/1991,Brazil,201,90
528,Neil,Cook,1/4/1987,France,206,108
529,Heather,Martin,4/25/1990,Argentina,177,86
530,Daniel,Olson,11/18/1994,England,174,93
531,Kellie,Robles,3/14/1991,Argentina,204,94
532,Logan,Weiss,4/29/1989,Canada,187,95
533,Christopher,Davis,1/28/1982,Italy,204,100
534,Michele,Hanson,1/23/1983,Canada,195,78
535,Mitchell,Mcdonald,2/2/1993,Spain,209,97
